DATE,TOTAL_CASES,DEATHS
1-Mar-20,88585,3050
2-Mar-20,90443,3117
3-Mar-20,93016,3202
4-Mar-20,95314,3285
5-Mar-20,98425,3387
6-Mar-20,102050,3494
7-Mar-20,106099,3599
8-Mar-20,109991,3827
9-Mar-20,114381,4025
10-Mar-20,118948,4296
11-Mar-20,126214,4628
12-Mar-20,134576,4981
13-Mar-20,145483,5429
14-Mar-20,156653,5833
15-Mar-20,169593,6519
16-Mar-20,182490,7161
17-Mar-20,198238,7978
18-Mar-20,218822,8951
19-Mar-20,236877,9828
20-Mar-20,275111,11186
21-Mar-20,301100,12948
22-Mar-20,338259,14457
23-Mar-20,372253,16312
24-Mar-20,410465,18295
25-Mar-20,452601,20500
26-Mar-20,531865,24073
27-Mar-20,596366,27343
28-Mar-20,663127,30861
29-Mar-20,723390,34064
30-Mar-20,752861,36233
31-Mar-20,828116,40728
1-Apr-20,911541,45532
2-Apr-20,1015065,53167
3-Apr-20,1074488,58109
4-Apr-20,1134421,60427
5-Apr-20,1225687,66520
6-Apr-20,1318306,72769
7-Apr-20,1409665,81010
8-Apr-20,1478469,86748
9-Apr-20,1569002,92109
10-Apr-20,1632798,98387
11-Apr-20,1727506,105722
12-Apr-20,1831130,113013
13-Apr-20,1888904,117585
14-Apr-20,1981310,125069
15-Apr-20,2044221,131340
16-Apr-20,2144886,143280
17-Apr-20,2248863,154138
18-Apr-20,2330766,160047
19-Apr-20,2361482,162045
21-Apr-20,2529094,174573
22-Apr-20,2592854,181083
23-Apr-20,2678621,187618
03-May-20,3514151,245584
09-May-20,4059925,277988
10-May-20,4115626,280594
14-May-20,4467842,299553
16-May-20,4647961,308985
17-May-20,4753643,313889
18-May-20,4851435,318035
19-May-20,4907135,320392
20-May-20,5039500,326501
21-May-20,5123517,330798
04-Jun-20,6608465,388587
05-Jun-20,6705320,393264
06-Jun-20,6861986,398489
07-Jun-20,7028578,403083
09-Jun-20,7200739,408767
